,value_counts
3738.0,763345
1360.0,737545
1446.0,729555
1214.0,541075
5376.0,528003
82.0,503911
2276.0,491738
8235.0,400024
4705.0,363417
1662.0,332633
5434.0,323647
3969.0,322963
2104.0,318715
4073.0,299629
7069.0,291054
376.0,285811
6143.0,250677
4874.0,236872
6938.0,231035
6065.0,227288
3650.0,221162
4290.0,212132
3700.0,211271
7749.0,210949
6585.0,204407
6742.0,189040
4509.0,188110
1573.0,176227
1859.0,162407
1128.0,160208
1866.0,152193
3929.0,150931
5818.0,145258
3535.0,145215
6762.0,145159
5683.0,143311
3345.0,141360
2651.0,138639
3489.0,137782
7164.0,137523
99.0,136926
4953.0,133462
3997.0,132149
4120.0,132099
7892.0,130965
1392.0,128234
856.0,126977
385.0,123451
4801.0,120699
1579.0,119648
5800.0,116518
4104.0,116340
1422.0,116183
1552.0,114595
7995.0,112429
1164.0,111967
7394.0,111523
4276.0,110934
4382.0,110596
968.0,110117
4360.0,108859
4058.0,105591
4446.0,105551
2045.0,104250
4014.0,103733
2031.0,103063
2337.0,102216
2184.0,101585
3614.0,99913
6326.0,99662
5795.0,99615
795.0,99056
247.0,98965
1954.0,98517
6215.0,96644
3273.0,95408
7279.0,95008
6236.0,93746
6320.0,93114
4094.0,91772
2459.0,91433
2197.0,89243
4365.0,88386
8351.0,86962
1605.0,85211
2116.0,84781
6109.0,84199
4594.0,82611
5735.0,82591
7819.0,81676
8411.0,81312
5644.0,81238
1981.0,79720
4623.0,79395
3866.0,78901
549.0,78160
6445.0,78117
7169.0,78041
6443.0,77350
6220.0,76781
6652.0,76753
3791.0,76672
2446.0,76091
1661.0,75944
7703.0,75831
6803.0,75692
8238.0,75489
8353.0,74976
6279.0,74766
6455.0,74141
3091.0,73091
5579.0,72858
603.0,71358
394.0,71041
7141.0,71019
3549.0,70864
1236.0,70785
6866.0,70559
4292.0,70554
7063.0,70063
2714.0,68911
4694.0,68846
7931.0,68823
7319.0,68798
1439.0,68452
2587.0,68216
8154.0,67264
3156.0,67248
6848.0,67161
2334.0,66482
125.0,65676
7666.0,65237
3954.0,64543
6483.0,64167
7178.0,64132
7093.0,63878
397.0,63248
4083.0,63114
3481.0,63044
3012.0,62930
2840.0,62642
240.0,62399
3724.0,62092
7033.0,61567
384.0,60895
5890.0,60878
2350.0,59998
7774.0,59446
3779.0,59341
1016.0,58643
6423.0,58592
7577.0,58377
277.0,58056
4396.0,57991
2946.0,57621
4017.0,57602
7622.0,56936
1580.0,56782
7980.0,56410
5360.0,56072
7479.0,55891
4475.0,55350
928.0,54083
2924.0,53463
4491.0,53318
6066.0,53313
3776.0,53223
918.0,53206
8391.0,52735
7614.0,52226
5812.0,52217
7724.0,51980
972.0,51941
4026.0,51931
6322.0,51884
3943.0,51785
1797.0,51705
5581.0,51635
6658.0,51390
2902.0,51233
8417.0,51199
7370.0,50896
1847.0,50781
5674.0,50440
7863.0,50390
5665.0,50062
7334.0,50062
706.0,49830
1272.0,49624
3369.0,49311
2018.0,48833
5997.0,48802
2240.0,48351
3080.0,48177
5496.0,48031
4866.0,48028
6826.0,48020
7606.0,47961
7885.0,47890
6946.0,47678
1534.0,47485
2761.0,47471
3521.0,47309
2206.0,47035
2044.0,46944
7647.0,46933
4978.0,46923
6296.0,46752
6349.0,46303
6170.0,45893
4704.0,45812
1647.0,45605
3103.0,45535
8037.0,45208
6439.0,45174
7944.0,45058
4562.0,44904
653.0,44887
6086.0,44775
4275.0,44601
2856.0,44343
2541.0,44225
3182.0,44018
540.0,43675
2652.0,43580
6515.0,43557
1151.0,43552
3968.0,43356
8243.0,43341
300.0,43323
7686.0,43306
5120.0,43136
3467.0,43095
4254.0,43034
3312.0,42893
1287.0,42542
4620.0,42420
1692.0,42142
4380.0,42015
7047.0,41968
8149.0,41961
5216.0,41879
4707.0,41690
7744.0,41631
516.0,40776
7020.0,40765
1440.0,40290
7735.0,40257
5762.0,40256
883.0,39838
3305.0,39666
7610.0,39599
3751.0,39389
338.0,39305
5041.0,39173
7993.0,39086
5223.0,38685
6040.0,38670
3803.0,38493
1519.0,38200
8396.0,38045
1766.0,37908
7725.0,37502
2142.0,37495
3161.0,36776
404.0,36757
4773.0,36570
7628.0,36264
3329.0,36158
3550.0,36038
3831.0,35902
475.0,35900
2158.0,35742
3424.0,35722
4644.0,35695
7537.0,35582
3322.0,35577
390.0,35565
6595.0,35516
2072.0,35485
809.0,35475
4987.0,35335
5145.0,35244
1152.0,35176
4143.0,35044
6987.0,34993
3967.0,34838
2758.0,34724
8303.0,34621
950.0,34467
3243.0,34293
6046.0,34268
2563.0,34250
2731.0,34159
328.0,34111
7551.0,34102
6446.0,33886
4947.0,33779
7011.0,33778
7240.0,33679
4279.0,33523
3320.0,33462
5603.0,33447
5773.0,33440
1901.0,33299
5508.0,33195
2638.0,33144
7880.0,33098
6769.0,32762
6741.0,32742
5362.0,32708
6267.0,32563
3687.0,32187
5903.0,31975
7807.0,31951
3941.0,31761
3228.0,31622
320.0,31528
5334.0,31444
2668.0,31422
4905.0,31352
7396.0,31274
5558.0,31207
5093.0,31059
8297.0,31016
2789.0,31003
5491.0,30873
7878.0,30808
1455.0,30799
1818.0,30628
5472.0,30579
3357.0,30448
4476.0,30427
2545.0,30172
3837.0,30128
1907.0,30119
6939.0,29894
8112.0,29807
5021.0,29777
7153.0,29641
2252.0,29593
5527.0,29510
3394.0,29263
5993.0,28996
5067.0,28973
6750.0,28783
4422.0,28758
6997.0,28705
1283.0,28664
5999.0,28622
4252.0,28591
69.0,28578
7500.0,28524
3708.0,28508
3945.0,28472
1828.0,28467
8216.0,28439
136.0,28429
3422.0,28395
2581.0,28390
1187.0,28384
3350.0,28378
7452.0,28256
767.0,28220
3730.0,28148
2014.0,28042
8397.0,28028
6735.0,28016
4010.0,27958
6307.0,27841
5638.0,27803
1469.0,27786
4669.0,27731
2498.0,27663
2746.0,27616
8231.0,27614
2509.0,27543
1995.0,27495
6560.0,27493
4473.0,27406
3358.0,27335
1221.0,27310
5484.0,27296
6444.0,27241
398.0,27204
5978.0,27126
8281.0,27077
8287.0,27056
3964.0,27014
6999.0,26974
2232.0,26970
5748.0,26955
1260.0,26893
3637.0,26891
6811.0,26757
3888.0,26744
7743.0,26646
2462.0,26644
8473.0,26586
4449.0,26391
4928.0,26355
6536.0,26354
520.0,26347
2244.0,26340
2270.0,26189
5183.0,26187
2808.0,26184
7284.0,26170
4998.0,26153
3183.0,26152
7463.0,26082
2000.0,26054
8345.0,25999
6211.0,25911
1571.0,25878
6573.0,25748
2987.0,25729
7161.0,25669
7935.0,25556
8228.0,25507
2221.0,25501
5043.0,25461
2503.0,25369
7713.0,25364
3186.0,25315
8062.0,25307
1878.0,25277
7447.0,25228
6836.0,25178
5013.0,25131
1521.0,25072
3510.0,25052
1416.0,25021
982.0,24973
3725.0,24964
6464.0,24794
626.0,24775
4755.0,24763
4907.0,24754
6860.0,24576
4752.0,24522
1725.0,24312
7119.0,24312
6164.0,24283
2431.0,24244
7915.0,24215
1043.0,24117
3526.0,24045
4113.0,23973
2196.0,23960
7635.0,23935
2258.0,23874
2891.0,23869
837.0,23832
7165.0,23808
281.0,23792
4387.0,23786
9.0,23765
1228.0,23743
1947.0,23743
4778.0,23683
8011.0,23680
752.0,23664
2970.0,23652
3462.0,23640
1374.0,23621
543.0,23614
1060.0,23553
6816.0,23523
5367.0,23504
1202.0,23444
801.0,23373
5335.0,23354
3193.0,23265
2055.0,23194
5289.0,23092
1444.0,23085
5572.0,23078
1005.0,22868
5545.0,22867
3828.0,22811
4583.0,22773
4103.0,22770
6720.0,22728
8207.0,22655
1887.0,22632
4037.0,22626
1726.0,22536
4237.0,22236
2110.0,22224
5930.0,22221
3881.0,22182
3950.0,22142
6257.0,22133
2974.0,22127
3374.0,22079
7053.0,21971
3213.0,21957
4672.0,21929
5430.0,21872
4505.0,21852
4805.0,21840
7483.0,21808
1246.0,21763
4385.0,21759
402.0,21642
7816.0,21637
5184.0,21629
7032.0,21570
4248.0,21534
5738.0,21517
1905.0,21470
4256.0,21424
7536.0,21408
1991.0,21407
2707.0,21395
4329.0,21331
2871.0,21245
768.0,21235
1297.0,21198
8274.0,21171
6835.0,21108
4299.0,21070
5135.0,21029
1018.0,20969
3089.0,20967
3876.0,20961
8471.0,20912
1466.0,20905
4309.0,20878
7355.0,20864
966.0,20792
5285.0,20758
2904.0,20714
1277.0,20672
8126.0,20672
3861.0,20671
1906.0,20654
1166.0,20646
2740.0,20620
7204.0,20564
5659.0,20535
6053.0,20524
6819.0,20450
1578.0,20421
2153.0,20358
3132.0,20299
3977.0,20291
5327.0,20260
1191.0,20163
4306.0,20105
5784.0,20087
6374.0,20037
2600.0,20031
2183.0,19991
8442.0,19941
8068.0,19919
3076.0,19857
3564.0,19816
2780.0,19776
8317.0,19742
5936.0,19729
4549.0,19726
7707.0,19702
2488.0,19655
1181.0,19654
7924.0,19642
4390.0,19636
5192.0,19597
6309.0,19535
683.0,19524
3826.0,19510
7208.0,19510
6054.0,19471
2230.0,19428
3033.0,19420
2331.0,19349
6467.0,19331
3142.0,19310
7455.0,19268
5515.0,19253
7893.0,19168
4915.0,19155
7450.0,19118
7936.0,19097
7402.0,19088
4167.0,19072
5052.0,19017
2208.0,19015
7379.0,18980
2676.0,18927
2943.0,18907
6699.0,18883
5083.0,18879
8355.0,18844
4640.0,18820
5796.0,18813
3914.0,18770
4937.0,18763
3074.0,18761
2368.0,18743
666.0,18630
4168.0,18590
744.0,18562
7045.0,18555
8056.0,18537
3125.0,18510
1972.0,18497
3416.0,18311
2319.0,18274
1404.0,18264
4608.0,18242
8279.0,18239
4098.0,18229
7685.0,18186
3158.0,18143
4400.0,18141
7154.0,18133
6032.0,18116
3569.0,18112
6906.0,18109
649.0,18093
6547.0,18091
2403.0,18086
5640.0,18084
524.0,18082
4130.0,18013
2016.0,18002
496.0,17996
2784.0,17983
5039.0,17980
4359.0,17956
3019.0,17927
4584.0,17914
4131.0,17905
7553.0,17886
2103.0,17863
2809.0,17850
830.0,17823
6831.0,17784
3978.0,17764
4029.0,17761
4063.0,17761
4977.0,17743
5712.0,17654
4184.0,17637
5178.0,17627
3296.0,17607
270.0,17593
5599.0,17579
7117.0,17553
1845.0,17552
4485.0,17523
8270.0,17504
6569.0,17478
6106.0,17463
3631.0,17444
5827.0,17431
3848.0,17430
4205.0,17423
5907.0,17369
1193.0,17305
48.0,17288
8476.0,17272
4655.0,17228
1423.0,17204
6115.0,17177
2786.0,17141
5625.0,17138
3916.0,17128
6381.0,17121
7714.0,17112
2021.0,17020
2788.0,17019
1559.0,16983
6098.0,16905
2706.0,16895
5230.0,16844
4606.0,16843
5394.0,16816
4917.0,16809
2483.0,16798
5727.0,16768
8229.0,16761
6615.0,16746
4991.0,16746
2819.0,16726
8288.0,16716
3145.0,16702
3134.0,16667
8321.0,16666
5056.0,16617
5574.0,16603
6127.0,16583
7591.0,16512
305.0,16503
1779.0,16496
7200.0,16493
6882.0,16462
1898.0,16458
1997.0,16439
3431.0,16417
3364.0,16403
2416.0,16364
8356.0,16360
7118.0,16273
2297.0,16252
6268.0,16242
3165.0,16193
654.0,16180
4343.0,16168
5421.0,16103
2022.0,16094
5138.0,16081
7808.0,16074
6889.0,16074
7480.0,16005
5482.0,15959
3640.0,15928
4682.0,15897
2890.0,15854
7833.0,15844
4507.0,15836
5658.0,15834
4502.0,15818
4247.0,15748
6621.0,15716
1773.0,15711
712.0,15706
7270.0,15702
3174.0,15692
5580.0,15686
4745.0,15680
1974.0,15662
1185.0,15652
4065.0,15651
3015.0,15644
4855.0,15632
5086.0,15617
416.0,15593
3166.0,15553
6035.0,15534
7719.0,15511
888.0,15505
7697.0,15504
1300.0,15502
32.0,15494
4741.0,15428
8157.0,15387
6550.0,15382
2315.0,15330
4743.0,15271
5736.0,15269
58.0,15249
4353.0,15232
158.0,15226
1793.0,15221
1209.0,15177
5511.0,15174
3869.0,15168
5499.0,15141
1456.0,15112
2333.0,15106
6493.0,15101
6839.0,15078
6102.0,15062
1651.0,15053
924.0,15032
7879.0,14995
4504.0,14991
7941.0,14946
5245.0,14906
2295.0,14893
5891.0,14893
5034.0,14863
7586.0,14835
8349.0,14830
3268.0,14825
2791.0,14823
2090.0,14812
3457.0,14803
7789.0,14796
6884.0,14783
3210.0,14778
2588.0,14720
7239.0,14694
4740.0,14681
5097.0,14677
1512.0,14673
3154.0,14629
2201.0,14613
7850.0,14606
7532.0,14603
6275.0,14597
8151.0,14566
1040.0,14550
1937.0,14549
6958.0,14545
8357.0,14480
5849.0,14467
1153.0,14461
5243.0,14459
4272.0,14453
851.0,14447
5005.0,14438
3599.0,14420
6500.0,14413
6861.0,14404
2842.0,14382
3169.0,14357
5409.0,14353
1508.0,14337
5476.0,14326
311.0,14321
4618.0,14311
5809.0,14292
5600.0,14258
3661.0,14254
1865.0,14249
1989.0,14228
6017.0,14138
1802.0,14129
550.0,14114
3815.0,14054
5626.0,14034
2427.0,14029
6111.0,14002
2413.0,13908
1966.0,13901
1028.0,13896
7333.0,13877
4404.0,13859
6137.0,13856
5576.0,13850
1225.0,13841
813.0,13823
6323.0,13799
3049.0,13711
826.0,13711
7367.0,13701
5703.0,13687
7110.0,13683
5801.0,13666
2169.0,13613
3451.0,13597
7972.0,13566
994.0,13554
5308.0,13548
4925.0,13536
33.0,13530
3587.0,13494
248.0,13479
417.0,13461
3940.0,13431
6612.0,13408
7701.0,13405
4899.0,13380
1869.0,13378
6998.0,13365
4771.0,13342
4639.0,13339
2969.0,13330
1082.0,13326
3616.0,13275
4177.0,13263
1428.0,13244
736.0,13231
2968.0,13202
806.0,13160
4886.0,13159
854.0,13131
6507.0,13115
3698.0,13083
4844.0,13081
8461.0,13081
4119.0,13063
8086.0,13014
1362.0,12995
7730.0,12988
4653.0,12962
7518.0,12954
4825.0,12929
5417.0,12921
2644.0,12920
6371.0,12919
5011.0,12918
5972.0,12914
8455.0,12893
1831.0,12888
2375.0,12880
1224.0,12870
7517.0,12857
6460.0,12854
1479.0,12848
864.0,12844
342.0,12820
1632.0,12788
6832.0,12779
4312.0,12754
5424.0,12752
3952.0,12729
1522.0,12696
2175.0,12678
1570.0,12628
3370.0,12628
8449.0,12613
5860.0,12608
6332.0,12606
7001.0,12589
5054.0,12554
4636.0,12531
808.0,12530
7253.0,12514
7664.0,12472
6490.0,12462
3391.0,12425
4043.0,12403
7692.0,12377
418.0,12376
6657.0,12346
4889.0,12337
749.0,12333
