,value_counts
662,4339025
737,1749753
1505,1724239
389,1621736
656,1538969
1349,1374482
1142,1265446
602,1248070
1577,1216159
1095,1155256
1438,933702
177,932113
407,879524
821,864373
1553,848239
1467,796754
302,769658
1075,723725
1238,712257
1208,711145
1188,698996
664,673125
1213,663906
1271,660025
1389,612536
1397,608386
1023,600386
420,571924
351,570235
267,520355
1611,513059
464,497266
154,494373
1401,472596
614,440005
946,430472
387,430347
276,421959
748,359141
898,350186
1181,330437
1326,314809
1591,305351
1252,300704
35,297247
1112,295789
184,288488
992,274959
612,269829
962,263701
993,258990
1028,257835
1174,246885
812,241213
883,232208
629,220490
451,209543
384,202866
530,196090
120,191119
229,189110
295,185511
555,181629
1130,180320
500,177188
119,171286
1118,165098
683,157407
247,153960
1604,151351
1429,147928
707,147283
178,146770
300,146733
786,138386
1280,137684
1228,136008
180,135779
756,135556
825,131291
611,124175
2,123840
11,123564
766,122546
320,121537
834,119822
1528,106008
369,105814
933,105531
1147,102606
776,101490
598,100936
833,100659
1329,95369
1197,91361
559,90521
1661,90352
43,86066
1344,85479
1620,82398
601,81364
106,79197
1100,77504
1518,75921
1021,75476
1431,75261
308,74180
1658,73855
115,71617
163,70225
1421,69968
1644,69767
1272,69727
252,68549
715,68256
477,67380
713,66058
895,65692
868,65557
632,65437
1290,64702
489,62753
1025,61197
1129,60922
639,59686
1371,59324
692,57529
1036,57447
218,56228
117,55484
563,54673
835,54417
1357,54212
1554,54062
1331,54026
844,53639
1211,53581
1034,53369
142,53137
1172,52851
270,52451
606,52193
242,51783
1603,51085
1606,50805
1189,49900
1612,49559
1141,47811
1566,45794
4,44865
1656,43279
1368,43213
196,42651
1432,42480
938,42474
1583,42054
1033,42037
1441,41906
1580,41727
1500,41565
1525,40949
40,40831
1198,40409
1279,39902
823,39845
761,39342
151,38871
192,37853
138,36685
1090,36571
125,36467
488,36065
648,35426
301,35279
1581,34299
331,34278
168,34047
36,34037
204,33998
1113,32723
69,32177
484,31027
476,30966
997,30336
1659,30300
1077,29748
1395,28843
88,28781
1648,28574
297,28435
307,28248
490,28110
1544,27969
1122,27609
1414,26946
1074,26900
13,26851
805,26736
81,26509
408,26285
1046,26232
893,26109
517,25989
826,25965
1101,25420
1192,25185
1085,25018
892,24874
1038,24280
1190,24213
1413,23922
819,23677
1345,23625
50,23539
574,23315
352,23253
22,23220
968,23120
796,22976
944,22777
466,22491
788,22324
1163,22319
1653,22265
1504,22089
1200,21907
720,21394
730,21329
596,21216
1260,21066
815,20957
1453,20444
380,20096
1024,20030
552,19993
1472,19637
1173,19300
1047,19219
1251,19046
1293,18759
497,18750
609,18378
1388,18372
1109,18231
316,17549
153,17508
1080,17394
699,17369
1339,17368
896,17070
649,16953
430,16950
666,16879
800,16745
374,16705
77,16631
478,16585
802,16440
1338,16320
89,16215
266,16131
1256,16105
492,15759
1422,15657
236,15634
795,15317
747,15203
970,15174
1134,15136
152,14727
1205,14683
605,14672
1214,14571
1042,14565
304,14497
1657,14460
429,14220
245,14113
1650,14084
1588,14025
1157,13981
63,13772
1637,13665
110,13539
641,13521
1159,13369
951,13362
292,13289
108,13161
404,13074
551,13061
199,12939
1602,12820
595,12734
624,12533
528,12524
592,12523
1175,12522
1590,12516
513,12502
784,12464
1517,12456
278,12340
166,12232
753,12160
1450,12038
158,12033
448,11997
610,11794
84,11759
984,11755
27,11731
56,11658
994,11527
1304,11318
494,11210
1571,11119
620,11079
681,11034
1469,10993
197,10944
958,10919
838,10731
1526,10614
1183,10595
1187,10495
1477,10494
1231,10466
503,10382
1255,10226
1311,10184
1455,10168
1005,10163
1195,10155
499,10042
1283,9994
703,9814
1098,9724
1631,9629
1542,9611
1262,9426
507,9350
1219,9340
884,9284
191,9260
955,9139
329,9075
1593,8965
695,8928
643,8910
971,8858
1491,8719
1143,8620
1298,8616
1458,8586
1328,8547
114,8504
1468,8427
509,8145
1516,8080
1150,8033
322,7992
455,7936
78,7913
319,7892
243,7875
383,7742
5,7726
434,7709
989,7680
698,7641
1470,7635
867,7615
1016,7532
1390,7531
673,7449
1443,7415
532,7340
273,7186
1210,7026
424,7008
1626,6996
843,6915
1647,6909
1161,6862
1552,6806
1249,6758
845,6728
1668,6681
359,6634
646,6594
1561,6537
438,6519
1529,6418
1362,6357
1116,6318
827,6316
548,6277
1058,6028
1370,6026
469,5986
1126,5962
581,5840
686,5774
860,5765
828,5662
781,5661
865,5631
1550,5622
1048,5594
1081,5582
579,5477
1623,5474
718,5442
260,5434
934,5408
985,5354
440,5351
954,5344
1359,5332
71,5311
600,5307
1308,5260
1520,5257
1062,5254
1212,5204
573,5200
386,5200
1608,5188
1384,5187
1558,5181
1424,5177
241,5140
1083,5132
561,5046
118,4987
1531,4975
358,4951
493,4936
1587,4914
1236,4912
1165,4861
368,4839
1166,4819
103,4792
231,4728
1405,4707
937,4692
102,4688
1144,4681
1243,4658
1050,4591
576,4588
72,4580
382,4563
96,4533
136,4518
310,4491
777,4482
67,4453
1119,4419
637,4384
949,4305
354,4268
1065,4248
599,4229
531,4227
1059,4195
1171,4170
1102,4158
1502,4117
1226,4082
996,4052
447,4030
1069,4027
583,4009
1152,3997
1374,3989
501,3955
31,3948
1232,3927
356,3853
1268,3851
428,3825
1425,3821
150,3817
268,3802
1105,3751
1596,3708
1203,3687
975,3657
863,3537
450,3486
1474,3459
1291,3457
328,3457
787,3447
1475,3442
395,3436
145,3412
417,3400
1167,3398
1387,3369
87,3366
1598,3323
1180,3314
179,3310
1317,3246
1557,3242
1334,3214
426,3212
1201,3203
323,3202
521,3198
394,3164
235,3105
1482,3072
1428,2978
1273,2968
202,2961
1666,2945
969,2880
988,2842
17,2827
981,2824
674,2801
54,2797
1155,2784
820,2763
1515,2737
1360,2705
205,2679
771,2659
1539,2657
1216,2652
215,2632
1601,2629
413,2626
437,2600
355,2587
73,2566
526,2565
1543,2554
504,2523
326,2512
741,2491
1383,2468
1483,2467
571,2461
628,2440
849,2433
1426,2412
1665,2410
187,2357
615,2339
1377,2333
567,2294
922,2289
1622,2288
773,2282
1029,2271
481,2270
1170,2261
1594,2260
976,2249
1511,2241
799,2220
1008,2214
159,2207
1619,2198
915,2166
1071,2163
256,2163
859,2117
904,2097
617,2090
1355,2087
333,2082
1534,2079
1655,2045
454,2043
1592,2037
1233,2031
479,2019
1346,2013
435,2010
130,1984
873,1967
141,1960
1287,1959
807,1947
70,1939
1007,1931
303,1931
1439,1896
991,1895
516,1895
964,1883
931,1882
725,1879
723,1851
1442,1832
711,1828
626,1821
1282,1807
1073,1803
1506,1801
1547,1800
1061,1798
443,1795
716,1770
882,1753
1486,1732
1322,1730
313,1713
564,1668
311,1667
290,1663
298,1653
732,1622
1625,1622
651,1621
1671,1600
349,1589
33,1588
734,1577
460,1577
190,1576
83,1566
953,1565
321,1558
793,1556
121,1554
283,1538
586,1535
965,1526
1169,1524
287,1491
764,1485
1153,1479
647,1448
161,1446
370,1446
760,1426
1292,1420
495,1411
274,1408
690,1397
1316,1395
226,1394
514,1387
1356,1383
535,1373
1481,1365
259,1364
457,1363
537,1360
1247,1359
885,1348
1530,1308
486,1305
122,1304
1224,1295
1559,1295
371,1279
1270,1271
392,1245
678,1245
367,1235
1479,1232
745,1214
1574,1213
1522,1207
613,1195
1284,1191
400,1190
44,1177
1471,1171
1514,1167
929,1141
1044,1135
1309,1121
743,1119
554,1118
377,1113
829,1112
980,1099
291,1099
280,1091
1369,1087
1218,1086
234,1083
104,1078
1376,1070
1288,1061
34,1060
721,1060
491,1046
533,1046
569,1045
701,1041
556,1031
317,1030
939,1024
1489,1022
195,1020
1196,1006
411,1004
1265,1003
222,1002
1556,998
1538,987
1492,987
357,987
930,986
362,984
1135,984
1013,957
750,949
112,947
738,936
855,927
324,924
3,911
12,905
830,896
217,891
631,891
155,889
1194,887
566,884
1585,879
654,879
1392,871
657,851
1456,849
366,848
337,842
1106,826
1114,823
653,818
570,817
85,814
1641,805
1006,800
453,792
779,791
55,788
1064,780
288,779
1193,778
19,776
903,774
906,768
1014,768
857,767
680,766
1220,762
665,762
616,757
346,756
864,746
1444,728
719,721
902,721
597,718
214,712
124,706
224,701
918,700
458,700
127,697
61,694
296,692
1540,691
1410,689
543,685
1266,685
1600,679
684,678
1250,677
1367,673
987,672
1412,666
558,660
852,656
1145,647
361,644
1440,643
1463,637
1267,630
167,623
1052,623
1082,622
960,611
1248,605
1584,604
659,602
780,602
1394,591
1660,588
1067,580
1624,576
1548,576
577,576
240,576
671,574
854,574
925,573
831,569
1156,569
848,566
1146,565
318,563
1459,560
90,559
340,559
1643,556
702,556
693,552
1567,547
1373,544
65,544
223,543
1176,541
51,539
727,533
1353,531
534,531
731,529
1049,527
201,525
900,523
630,512
66,511
1217,511
1079,510
100,505
642,505
990,494
1449,492
505,491
248,490
467,487
593,479
948,473
1616,472
1519,471
49,468
1416,465
1365,462
1151,459
1206,456
655,455
95,455
182,454
186,452
1628,449
1670,449
1241,445
132,440
1565,440
42,437
790,432
364,429
1306,426
1645,423
1498,421
582,421
1139,414
917,412
1418,410
385,406
1209,405
299,403
174,402
439,402
1222,401
388,400
1204,400
982,394
759,394
522,392
185,391
1303,391
1026,384
1305,382
173,381
126,381
225,381
415,380
1099,368
1521,367
785,366
770,366
545,364
228,362
584,361
427,354
872,353
1381,350
208,349
668,348
144,346
257,345
188,345
806,342
137,339
778,338
76,337
1551,336
1087,335
1408,334
1437,330
907,328
181,324
661,323
636,322
1264,320
378,319
568,318
45,318
1323,317
943,316
675,316
782,312
919,312
1237,305
1340,304
1523,304
891,304
839,299
390,299
1448,299
10,296
910,292
1125,290
1093,288
75,286
277,286
1480,281
1,280
251,277
623,276
1300,273
1343,273
452,270
391,266
485,266
679,266
529,265
1433,265
952,264
221,262
343,261
418,259
726,256
1427,256
1391,254
708,253
1115,253
676,250
1186,248
