,value_counts
3760,743217
3828,730455
184,613811
1102,541374
4173,528755
4044,504496
1393,363727
1,339140
3677,323816
3698,319072
3491,304135
606,283768
4976,251100
4752,231277
420,213754
4094,211199
4257,184980
461,162545
173,161248
1663,157790
2823,153845
1480,150119
1892,147371
3663,147295
4218,142861
1503,142561
2813,142222
4845,140063
4282,138842
3213,138672
1272,138012
1043,137785
158,137055
4945,136580
4918,134884
2676,132467
4798,132258
2468,126861
4924,126764
2781,123891
3183,121044
2412,120795
1595,118612
1138,116437
2336,115325
4847,113771
375,112205
3449,111607
643,110282
798,110134
1890,109144
2677,106447
2371,105500
28,104742
3734,104621
416,103977
3925,102757
628,101670
141,100016
1257,99194
4760,98433
3955,97630
4404,96964
2385,96139
2928,94427
2223,94289
2206,93192
598,91895
331,91862
1501,91627
1760,89925
4509,88469
3678,87811
422,87410
3315,85251
2560,84885
4538,84546
644,82815
361,82802
4143,82675
1535,81978
1674,81773
3990,81404
1340,79887
121,79865
437,79857
4127,79513
4688,79483
3295,78968
3659,78675
1487,78290
1815,78130
4644,77657
1087,77507
965,76762
3017,75959
2963,75857
3859,75732
651,75039
4766,74814
1058,74430
1346,73672
941,73301
1699,72382
2418,71982
1618,71250
2246,71078
3556,70868
3578,70752
830,70569
2403,70488
1461,70399
2639,70158
1875,69011
567,68975
474,68107
1679,67365
3845,67337
1810,67209
1056,67179
2664,67137
167,66888
2173,66310
3970,65737
1617,65033
1967,64826
3139,64633
2124,64274
2617,64242
4043,64131
586,63641
2721,63430
3669,63339
270,63295
1861,63234
4467,62745
859,61667
1188,61251
801,60963
790,60876
1963,60425
2217,60202
2545,59731
1583,59485
4205,59051
834,58716
527,58635
412,57665
2062,57632
3326,57538
4605,56943
232,55946
1131,55821
623,55421
3376,54575
1833,53585
3507,53444
1953,53424
4160,53391
3128,52815
202,52280
4161,52269
962,52131
2367,52039
4566,51966
2954,51961
1253,51919
1704,51727
465,51713
541,51501
944,50958
2956,50954
4949,50812
4234,50497
4850,50459
