[0]	validation_0-auc:0.62925	validation_1-auc:0.61659
[1]	validation_0-auc:0.641166	validation_1-auc:0.626596
[2]	validation_0-auc:0.649947	validation_1-auc:0.633181
[3]	validation_0-auc:0.655037	validation_1-auc:0.634385
[4]	validation_0-auc:0.660357	validation_1-auc:0.636811
[5]	validation_0-auc:0.663497	validation_1-auc:0.638005
[6]	validation_0-auc:0.668918	validation_1-auc:0.641556
[7]	validation_0-auc:0.671209	validation_1-auc:0.641988
[8]	validation_0-auc:0.674457	validation_1-auc:0.643174
[9]	validation_0-auc:0.678809	validation_1-auc:0.64581
[10]	validation_0-auc:0.682519	validation_1-auc:0.647412
[11]	validation_0-auc:0.686487	validation_1-auc:0.648423
[12]	validation_0-auc:0.689851	validation_1-auc:0.649236
[13]	validation_0-auc:0.693168	validation_1-auc:0.649481
[14]	validation_0-auc:0.694978	validation_1-auc:0.65039
[15]	validation_0-auc:0.69995	validation_1-auc:0.650752
[16]	validation_0-auc:0.703211	validation_1-auc:0.650893
[17]	validation_0-auc:0.705629	validation_1-auc:0.652675
[18]	validation_0-auc:0.708492	validation_1-auc:0.653951
[19]	validation_0-auc:0.711324	validation_1-auc:0.654642
[20]	validation_0-auc:0.712848	validation_1-auc:0.655176
[21]	validation_0-auc:0.716789	validation_1-auc:0.656166
[22]	validation_0-auc:0.720853	validation_1-auc:0.656945
[23]	validation_0-auc:0.724915	validation_1-auc:0.658481
[24]	validation_0-auc:0.727958	validation_1-auc:0.658461
[25]	validation_0-auc:0.731406	validation_1-auc:0.65964
[26]	validation_0-auc:0.733962	validation_1-auc:0.659944
[27]	validation_0-auc:0.73748	validation_1-auc:0.66021
[28]	validation_0-auc:0.741726	validation_1-auc:0.661255
[29]	validation_0-auc:0.743904	validation_1-auc:0.66177
[30]	validation_0-auc:0.746988	validation_1-auc:0.661962
[31]	validation_0-auc:0.751247	validation_1-auc:0.662806
[32]	validation_0-auc:0.754249	validation_1-auc:0.663764
[33]	validation_0-auc:0.755452	validation_1-auc:0.664038
[34]	validation_0-auc:0.75836	validation_1-auc:0.664477
[35]	validation_0-auc:0.76079	validation_1-auc:0.664733
[36]	validation_0-auc:0.763135	validation_1-auc:0.664994
[37]	validation_0-auc:0.765241	validation_1-auc:0.665278
[38]	validation_0-auc:0.768625	validation_1-auc:0.666649
[39]	validation_0-auc:0.772936	validation_1-auc:0.667711
[40]	validation_0-auc:0.776355	validation_1-auc:0.667761
[41]	validation_0-auc:0.778424	validation_1-auc:0.667609
[42]	validation_0-auc:0.780838	validation_1-auc:0.667436
[43]	validation_0-auc:0.783035	validation_1-auc:0.667918
[44]	validation_0-auc:0.785454	validation_1-auc:0.667409
[45]	validation_0-auc:0.788625	validation_1-auc:0.667802
[46]	validation_0-auc:0.790757	validation_1-auc:0.668376
[47]	validation_0-auc:0.794531	validation_1-auc:0.668821
[48]	validation_0-auc:0.796759	validation_1-auc:0.669327
[49]	validation_0-auc:0.798605	validation_1-auc:0.669084
[50]	validation_0-auc:0.800046	validation_1-auc:0.669293
[51]	validation_0-auc:0.802307	validation_1-auc:0.669492
[52]	validation_0-auc:0.803198	validation_1-auc:0.669639
[53]	validation_0-auc:0.804916	validation_1-auc:0.669551
[54]	validation_0-auc:0.805548	validation_1-auc:0.669586
[55]	validation_0-auc:0.806959	validation_1-auc:0.669938
[56]	validation_0-auc:0.808054	validation_1-auc:0.669907
[57]	validation_0-auc:0.809473	validation_1-auc:0.669707
[58]	validation_0-auc:0.811065	validation_1-auc:0.669594
[59]	validation_0-auc:0.81439	validation_1-auc:0.670129
[60]	validation_0-auc:0.816338	validation_1-auc:0.670519
[61]	validation_0-auc:0.818015	validation_1-auc:0.670196
